dispatch_id,candidate_id,op_kind,device,arch,cfg.M,cfg.N,cfg.K,cfg.subgroup_size,cfg.intrinsic_mn,cfg.intrinsic_k,cfg.lhs_type_bitwidth,cfg.rhs_type_bitwidth,cfg.subgroup_tile_m,cfg.subgroup_tile_n,cfg.subgroup_tile_k,cfg.promote_operands,cfg.codegen_pipeline,cfg.pipeline_options_search_space,cfg.allowed_waves_per_eu,cfg.padding,cfg.mma_attr,cfg.m,cfg.n,cfg.k,cfg.wg_x,cfg.wg_y,cfg.wg_z,cfg.sg_m_cnt,cfg.sg_n_cnt,compile_flags,compile_order_in_list,compile_status,benchmark_flags,to_benchmark,benchmark_device_id,benchmark_status,baseline_benchmark_time_ms,benchmark_time_ms,benchmark_optimal_time_ms,benchmark_speedup,benchmark_order_in_list,benchmark_result_order,benchmark_start_order_vs_result,benchmark_optimal_start_order,benchmark_avg_order_diff,benchmark_avg_top10_order_diff,candidate_spec_mlir,cfg.WG,cfg.num_subgroups,cfg.quantization_inefficiency,cfg.lhs_tile_size,cfg.rhs_tile_size,cfg.flat_wg_size,cfg.lds_utilization,norm_speedup,cfg.mma_attr_map,m_pow2,n_pow2,k_pow2,m_square,n_square,k_square,m_cube,n_cube,k_cube,num_subgroups_mult4
unet_gemm_2048_1280_5120_f16_f32_tB,11,contraction,sharkmi300x-4,gfx942,2048.0,1280.0,5120.0,64.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x16_F16>,128,32,64,64.0,2.0,1.0,2.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",11,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://7,True,170.17,174.67,120.0,1.02644,4.0,140.0,136.0,565.0,265.0,,tuning_2025_09_30_05_16/candidates/specs/11_spec.mlir,640.0,2,0.29824561403508776,8192.0,2048.0,128.0,0.3125,0.0022412638480166004,0,1,1,1,0,0,1,0,0,1,0
unet_gemm_2048_1280_5120_f16_f32_tB,12,contraction,sharkmi300x-4,gfx942,2048.0,1280.0,5120.0,64.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x16_F16>,32,256,64,128.0,2.0,1.0,2.0,2.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",12,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://7,True,170.17,228.67,120.0,1.34378,6.0,347.0,341.0,565.0,265.0,,tuning_2025_09_30_05_16/candidates/specs/12_spec.mlir,320.0,4,0.4736842105263158,2048.0,16384.0,256.0,0.5625,0.004494313358690662,0,1,1,1,0,1,1,0,0,1,1
unet_gemm_2048_1280_5120_f16_f32_tB,13,contraction,sharkmi300x-4,gfx942,2048.0,1280.0,5120.0,64.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x16_F16>,128,64,32,128.0,1.0,1.0,1.0,2.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",13,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://6,True,171.67,160.67,120.0,0.93592,13.0,81.0,68.0,565.0,265.0,,tuning_2025_09_30_05_16/candidates/specs/13_spec.mlir,320.0,2,0.4736842105263158,4096.0,2048.0,128.0,0.1875,0.001598590243345849,0,1,1,1,0,1,0,0,1,0,0
unet_gemm_2048_1280_5120_f16_f32_tB,14,contraction,sharkmi300x-4,gfx942,2048.0,1280.0,5120.0,64.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x16_F16>,64,160,128,64.0,4.0,1.0,4.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",14,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://2,True,168.83,131.67,120.0,0.77986,20.0,12.0,8.0,565.0,265.0,,tuning_2025_09_30_05_16/candidates/specs/14_spec.mlir,256.0,4,0.1578947368421053,8192.0,20480.0,256.0,0.875,0.0004905959576088037,0,1,0,1,1,0,0,1,0,0,1
unet_gemm_2048_1280_5120_f16_f32_tB,15,contraction,sharkmi300x-4,gfx942,2048.0,1280.0,5120.0,64.0,32.0,8.0,16.0,16.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_32x32x8_F16>,32,320,32,64.0,1.0,1.0,1.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",15,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://7,True,170.17,264.67,120.0,1.55534,30.0,460.0,430.0,565.0,265.0,,tuning_2025_09_30_05_16/candidates/specs/15_spec.mlir,256.0,1,0.1578947368421053,1024.0,10240.0,64.0,0.34375,0.005996346365806702,3,1,0,1,0,0,0,0,0,0,0
unet_gemm_2048_1280_5120_f16_f32_tB,16,contraction,sharkmi300x-4,gfx942,2048.0,1280.0,5120.0,64.0,32.0,8.0,16.0,16.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_32x32x8_F16>,256,320,32,128.0,4.0,1.0,4.0,2.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",16,False,"['--input=1', '--benchmark_repetitions=3']",False,,False,,,,,,,,,,,tuning_2025_09_30_05_16/candidates/specs/16_spec.mlir,32.0,8,0.8947368421052632,8192.0,10240.0,512.0,0.5625,1.0,3,1,0,1,1,0,0,0,0,0,1
unet_gemm_2048_1280_5120_f16_f32_tB,17,contraction,sharkmi300x-4,gfx942,2048.0,1280.0,5120.0,64.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x16_F16>,64,128,128,128.0,1.0,1.0,1.0,2.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",17,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://5,True,172.17,213.67,120.0,1.24105,23.0,275.0,252.0,565.0,265.0,,tuning_2025_09_30_05_16/candidates/specs/17_spec.mlir,320.0,2,0.4736842105263158,8192.0,16384.0,128.0,0.75,0.0037649512353165318,0,1,1,1,1,0,0,1,0,0,0
unet_gemm_2048_1280_5120_f16_f32_tB,18,contraction,sharkmi300x-4,gfx942,2048.0,1280.0,5120.0,64.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x16_F16>,64,320,80,64.0,4.0,1.0,4.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",18,False,"['--input=1', '--benchmark_repetitions=3']",False,,False,,,,,,,,,,,tuning_2025_09_30_05_16/candidates/specs/18_spec.mlir,128.0,4,0.5789473684210527,5120.0,25600.0,256.0,0.9375,1.0,0,1,0,0,1,0,0,1,0,0,1
unet_gemm_2048_1280_5120_f16_f32_tB,19,contraction,sharkmi300x-4,gfx942,2048.0,1280.0,5120.0,64.0,16.0,32.0,16.0,16.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x32_F16>,128,160,64,128.0,4.0,1.0,4.0,2.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",19,False,"['--input=1', '--benchmark_repetitions=3']",False,,False,,,,,,,,,,,tuning_2025_09_30_05_16/candidates/specs/19_spec.mlir,128.0,8,0.5789473684210527,8192.0,10240.0,512.0,0.5625,1.0,1,1,0,1,0,0,1,0,0,1,1
unet_gemm_2048_1280_5120_f16_f32_tB,20,contraction,sharkmi300x-4,gfx942,2048.0,1280.0,5120.0,64.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x16_F16>,32,256,80,128.0,2.0,1.0,2.0,2.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",20,False,"['--input=1', '--benchmark_repetitions=3']",False,,False,,,,,,,,,,,tuning_2025_09_30_05_16/candidates/specs/20_spec.mlir,320.0,4,0.4736842105263158,2560.0,20480.0,256.0,0.703125,1.0,0,1,1,0,0,1,0,0,0,0,1
